Country,Continent,Fertility_Rate,GDP,Population
Afghanistan,Asia,4.47,19101353833,38041754
Albania,Europe,1.62,15278077447,2854191
Algeria,Africa,3.02,1.70E+11,43053054
Andorra,Europe,1.27,3154057987,77142
Angola,Africa,5.52,94635415870,31825295
Antigua and Barbuda,North America,1.99,1727759259,97118
Argentina,South America,2.26,4.50E+11,44938712
Armenia,Europe,1.76,13672802158,2957731
Australia,Oceania,1.74,1.39E+12,25766605
Austria,Europe,1.47,4.46E+11,8877067
Azerbaijan,Europe,1.73,39207000000,10023318
The Bahamas,North America,1.75,12827000000,389482
Bahrain,Asia,1.99,38574069149,1501635
Bangladesh,Asia,2.04,3.03E+11,167310838
Barbados,North America,1.62,5209000000,287025
Belarus,Europe,1.45,63080457023,9466856
Belgium,Europe,1.62,5.30E+11,11484055
Belize,North America,2.31,1879613600,390353
Benin,Africa,4.84,14390709095,11801151
Bhutan,Asia,1.98,2446674101,727145
Bolivia,South America,2.73,40895322865,11513100
Bosnia and Herzegovina,Europe,1.27,20047848435,3301000
Botswana,Africa,2.87,18340510789,2346179
Brazil,South America,1.73,1.84E+12,212559417
Brunei,Asia,1.85,13469422941,433285
Bulgaria,Europe,1.56,86000000000,6975761
Burkina Faso,Africa,5.19,15745810235,20321378
Burundi,Africa,5.41,3012334882,11530580
Ivory Coast,Africa,4.65,58792205642,25716544
Cape Verde,Africa,2.27,1981845741,483628
Cambodia,Asia,2.5,27089389787,16486542
Cameroon,Africa,4.57,38760467033,25876380
Canada,North America,1.5,1.74E+12,36991981
Central African Rep.,Africa,4.72,2220307369,4745185
Chad,Africa,5.75,11314951343,15946876
Chile,South America,1.65,2.82E+11,18952038
China,Asia,1.69,1.99E+13,1397715000
Colombia,South America,1.81,3.24E+11,50339443
Comoros,Africa,4.21,1185728677,850886
Republic of the Congo,Africa,4.43,10820591131,5380508
Costa Rica,North America,1.75,61773944174,5047561
Croatia,Europe,1.47,60415553039,4067500
Cuba,North America,1.62,1.00E+11,11333483
Cyprus,Europe,1.33,24564647935,1198575
Czech Republic,Europe,1.69,2.46E+11,10669709
Dem. Rep. Congo,Africa,5.92,47319624204,86790567
Denmark,Europe,1.73,3.48E+11,5818553
Djibouti,Africa,2.73,3318716359,973560
Dominica,North America,1.9,596033333,71808
Dominican Republic,North America,2.35,88941298258,10738958
Ecuador,South America,2.43,1.07E+11,17373662
Egypt,Africa,3.33,3.03E+11,100388073
El Salvador,North America,2.04,27022640000,6453553
Equatorial Guinea,Africa,4.51,11026774945,1355986
Eritrea,Africa,4.06,2065001626,6333135
Estonia,Europe,1.59,31386949981,1331824
Eswatini,Africa,,3791304348,1093238
Ethiopia,Africa,4.25,96107662398,112078730
Fiji,Oceania,2.77,5535548972,889953
Finland,Europe,1.41,2.69E+11,5520314
France,Europe,1.88,2.72E+12,67059887
Gabon,Africa,3.97,16657960228,2172579
The Gambia,Africa,5.22,1763819048,2347706
Georgia,Europe,2.06,17743195770,3720382
Germany,Europe,1.56,3.85E+12,83132799
Ghana,Africa,3.87,66983634224,30792608
Greece,Europe,1.35,2.10E+11,10716322
Grenada,North America,2.06,1228170370,112003
Guatemala,North America,2.87,76710385880,16604026
Guinea,Africa,4.7,13590281809,12771246
Guinea-Bissau,Africa,4.48,1340389411,1920922
Guyana,South America,2.46,4280443645,782766
Haiti,North America,2.94,8498981821,11263077
Vatican City,Europe,,,836
Honduras,North America,2.46,25095395475,9746117
Hungary,Europe,1.54,1.61E+11,9769949
Iceland,Europe,1.71,24188035739,361313
India,Asia,2.22,2.61E+12,1366417754
Indonesia,Asia,2.31,1.12E+12,270203917
Iran,Asia,2.14,4.45E+11,82913906
Iraq,Asia,3.67,2.34E+11,39309783
Republic of Ireland,Europe,1.75,3.89E+11,5007069
Israel,Asia,3.09,3.95E+11,9053300
Italy,Europe,1.29,2.00E+12,60297396
Jamaica,North America,1.98,16458071068,2948279
Japan,Asia,1.42,5.08E+12,126226568
Jordan,Asia,2.76,43743661972,10101694
Kazakhstan,Asia,2.84,1.80E+11,18513930
Kenya,Africa,3.49,95503088538,52573973
Kiribati,Oceania,3.57,194647202,117606
Kuwait,Asia,2.08,1.35E+11,4207083
Kyrgyzstan,Asia,3.3,8454619608,6456900
Laos,Asia,2.67,18173839128,7169455
Latvia,Europe,1.6,34117202555,1912789
Lebanon,Asia,2.09,53367042272,6855713
Lesotho,Africa,3.14,2460072444,2125268
Liberia,Africa,4.32,3070518100,4937374
Libya,Africa,2.24,52076250948,6777452
Liechtenstein,Europe,1.44,6552858739,38019
Lithuania,Europe,1.63,54219315600,2786844
Luxembourg,Europe,1.37,71104919108,645397
Madagascar,Africa,4.08,14083906357,26969307
Malawi,Africa,4.21,7666704427,18628747
Malaysia,Asia,2,3.65E+11,32447385
Maldives,Asia,1.87,5729248472,530953
Mali,Africa,5.88,17510141171,19658031
Malta,Europe,1.23,14786156563,502653
Marshall Islands,Oceania,4.05,221278000,58791
Mauritania,Africa,4.56,7593752450,4525696
Mauritius,Africa,1.41,14180444557,1265711
Mexico,North America,2.13,1.26E+12,126014024
Federated States of Micronesia,Oceania,3.05,401932279,113815
Moldova,Europe,1.26,11955435457,2657637
Monaco,Europe,,7184844193,38964
Mongolia,Asia,2.9,13852850259,3225167
Montenegro,Europe,1.75,5494736901,622137
Morocco,Africa,2.42,1.19E+11,36910560
Mozambique,Africa,4.85,14934159926,30366036
Myanmar,Asia,2.15,76085852617,54045420
Namibia,Africa,3.4,12366527719,2494530
Nauru,Oceania,,133000000,10084
Nepal,Asia,1.92,30641380604,28608710
